NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,9,MDY001,Maha Aungmye,မဟာအောင်မြေ,မရတ,marata,0,,"('9',N'MDY001',N'Maha Aungmye',N'မဟာအောင်မြေ',N'မရတ',N'marata',0),",,,
,9,MDY002,Maha Aungmye,မဟာအောင်မြေ,မဟမ,mahama,0,,"('9',N'MDY002',N'Maha Aungmye',N'မဟာအောင်မြေ',N'မဟမ',N'mahama',0),",,,
,9,MDY003,Chanmyathazi,ချမ်းမြသာစည်,မနတ,manata,0,,"('9',N'MDY003',N'Chanmyathazi',N'ချမ်းမြသာစည်',N'မနတ',N'manata',0),",,,
,9,MDY004,Chanmyathazi,ချမ်းမြသာစည်,ခမစ,khamasa,0,,"('9',N'MDY004',N'Chanmyathazi',N'ချမ်းမြသာစည်',N'ခမစ',N'khamasa',0),",,,
,9,MDY005,Chanayethazan,ချမ်းအေးသာစံ,မရမ,marama,0,,"('9',N'MDY005',N'Chanayethazan',N'ချမ်းအေးသာစံ',N'မရမ',N'marama',0),",,,
,9,MDY006,Chanayethazan,ချမ်းအေးသာစံ,ခအဇ,khaaza,0,,"('9',N'MDY006',N'Chanayethazan',N'ချမ်းအေးသာစံ',N'ခအဇ',N'khaaza',0),",,,
,9,MDY007,Pyigyitagon,ပြည်ကြီးတံခွန်,ပတခ,patakha,0,,"('9',N'MDY007',N'Pyigyitagon',N'ပြည်ကြီးတံခွန်',N'ပတခ',N'patakha',0),",,,
,9,MDY008,Kyaukse,ကျောက်ဆည်,ကဆန,kahsana,0,,"('9',N'MDY008',N'Kyaukse',N'ကျောက်ဆည်',N'ကဆန',N'kahsana',0),",,,
,9,MDY009,Sintgaing,စဉ့်ကိုင်,စကတ,sakata,0,,"('9',N'MDY009',N'Sintgaing',N'စဉ့်ကိုင်',N'စကတ',N'sakata',0),",,,
,9,MDY010,Myittha,မြစ်သား,မသန,mathana,0,,"('9',N'MDY010',N'Myittha',N'မြစ်သား',N'မသန',N'mathana',0),",,,
,9,MDY011,Nyaung-U,ညောင်ဦး (ပုဂံ),ညဥန,nyauna,0,,"('9',N'MDY011',N'Nyaung-U',N'ညောင်ဦး (ပုဂံ)',N'ညဥန',N'nyauna',0),",,,
,9,MDY012,Ngathayauk,ငါ့သရောက်,ငသရ,ngathara,0,,"('9',N'MDY012',N'Ngathayauk',N'ငါ့သရောက်',N'ငသရ',N'ngathara',0),",,,
,9,MDY013,Kyaukpadaung,ကျောက်ပန်းတောင်း,ကပတ,kapata,0,,"('9',N'MDY013',N'Kyaukpadaung',N'ကျောက်ပန်းတောင်း',N'ကပတ',N'kapata',0),",,,
,9,MDY014,Tada-U,တံတားဦး,တတဥ,tatau,0,,"('9',N'MDY014',N'Tada-U',N'တံတားဦး',N'တတဥ',N'tatau',0),",,,
,9,MDY015,Ngazun,ငါန်းဇွန်,ငဇန,ngazana,0,,"('9',N'MDY015',N'Ngazun',N'ငါန်းဇွန်',N'ငဇန',N'ngazana',0),",,,
,9,MDY016,Pyin Oo Lwin,ပြင်ဦးလွင်,ပဥလ,paula,0,,"('9',N'MDY016',N'Pyin Oo Lwin',N'ပြင်ဦးလွင်',N'ပဥလ',N'paula',0),",,,
,9,MDY017,Pyin Oo Lwin,ပြင်ဦးလွင်,မမန,mamana,0,,"('9',N'MDY017',N'Pyin Oo Lwin',N'ပြင်ဦးလွင်',N'မမန',N'mamana',0),",,,
,9,MDY018,Meiktila,မိတ္ထီလာ,မထလ,mahtala,0,,"('9',N'MDY018',N'Meiktila',N'မိတ္ထီလာ',N'မထလ',N'mahtala',0),",,,
