NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,10,MON001,Mawlamyine,မော်လမြိုင်,မလမ,malama,0,,"('10',N'MON001',N'Mawlamyine',N'မော်လမြိုင်',N'မလမ',N'malama',0),",,,
,10,MON002,Kyaikmaraw,ကျိုက်မရော,ကမရ,kamara,0,,"('10',N'MON002',N'Kyaikmaraw',N'ကျိုက်မရော',N'ကမရ',N'kamara',0),",,,
,10,MON003,Chaungzon,ချောင်းဆုံ,ခဆန,khahsana,0,,"('10',N'MON003',N'Chaungzon',N'ချောင်းဆုံ',N'ခဆန',N'khahsana',0),",,,
,10,MON004,Mudon,မုဒုံ,မဒန,madana,0,,"('10',N'MON004',N'Mudon',N'မုဒုံ',N'မဒန',N'madana',0),",,,
,10,MON005,Thanbyuzayat,သံဖြူဇရပ်,သဖရ,thaphara,0,,"('10',N'MON005',N'Thanbyuzayat',N'သံဖြူဇရပ်',N'သဖရ',N'thaphara',0),",,,
,10,MON006,Kyaikto,ကျိုက်ထို,ကထန,kahtana,0,,"('10',N'MON006',N'Kyaikto',N'ကျိုက်ထို',N'ကထန',N'kahtana',0),",,,
,10,MON007,Bilin,ဘီးလင်း,ဘလန,balana,0,,"('10',N'MON007',N'Bilin',N'ဘီးလင်း',N'ဘလန',N'balana',0),",,,
,10,MON008,Ye,ရေး,ရမန,ramana,0,,"('10',N'MON008',N'Ye',N'ရေး',N'ရမန',N'ramana',0),",,,
,10,MON009,Lamine,လမိုင်း,လမန,lamana,0,,"('10',N'MON009',N'Lamine',N'လမိုင်း',N'လမန',N'lamana',0),",,,
,10,MON010,Khawzar,ခေါဇာ,ခဇန,khazana,0,,"('10',N'MON010',N'Khawzar',N'ခေါဇာ',N'ခဇန',N'khazana',0),",,,
,10,MON011,Thaton,သထုံ,သထန,thahtana,0,,"('10',N'MON011',N'Thaton',N'သထုံ',N'သထန',N'thahtana',0),",,,
,10,MON012,Paung,ပေါင်,ပမန,pamana,0,,"('10',N'MON012',N'Paung',N'ပေါင်',N'ပမန',N'pamana',0),",,,
