NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,11,RKE001,Sittwe,စစ်တွေ,စတန,satana,0,,"('11',N'RKE001',N'Sittwe',N'စစ်တွေ',N'စတန',N'satana',0),",,,
,11,RKE002,Pauktaw,ပေါက်တော,ပတန,patana,0,,"('11',N'RKE002',N'Pauktaw',N'ပေါက်တော',N'ပတန',N'patana',0),",,,
,11,RKE003,Ponnagyun,ပုဏ္ဏားကျွန်း,ပဏတ,panata,0,,"('11',N'RKE003',N'Ponnagyun',N'ပုဏ္ဏားကျွန်း',N'ပဏတ',N'panata',0),",,,
,11,RKE004,Rathedaung,ရသေ့တောင်,ရသတ,rathata,0,,"('11',N'RKE004',N'Rathedaung',N'ရသေ့တောင်',N'ရသတ',N'rathata',0),",,,
,11,RKE005,Kyaukphyu,ကျောက်ဖြူ,ကဖန,kaphana,0,,"('11',N'RKE005',N'Kyaukphyu',N'ကျောက်ဖြူ',N'ကဖန',N'kaphana',0),",,,
,11,RKE006,Ramree,ရမ်းဗြဲ,ရဗန,rabana,0,,"('11',N'RKE006',N'Ramree',N'ရမ်းဗြဲ',N'ရဗန',N'rabana',0),",,,
,11,RKE007,Taungup,တောင်ကုတ်,တကန,takana,0,,"('11',N'RKE007',N'Taungup',N'တောင်ကုတ်',N'တကန',N'takana',0),",,,
,11,RKE008,Ma-ei,မအီ,မအတ,maata,0,,"('11',N'RKE008',N'Ma-ei',N'မအီ',N'မအတ',N'maata',0),",,,
,11,RKE009,Manaung,မာန်အောင်,မအန,maana,0,,"('11',N'RKE009',N'Manaung',N'မာန်အောင်',N'မအန',N'maana',0),",,,
,11,RKE010,Maungdaw,မောင်တော,မတန,matana,0,,"('11',N'RKE010',N'Maungdaw',N'မောင်တော',N'မတန',N'matana',0),",,,
,11,RKE011,Taungpyoletwe,တောင်ပြိုလက်ဝဲ,တပဝ,tapawa,0,,"('11',N'RKE011',N'Taungpyoletwe',N'တောင်ပြိုလက်ဝဲ',N'တပဝ',N'tapawa',0),",,,
,11,RKE012,Buthidaung,ဘူးသီးတောင်,ဘသတ,bathata,0,,"('11',N'RKE012',N'Buthidaung',N'ဘူးသီးတောင်',N'ဘသတ',N'bathata',0),",,,
,11,RKE013,Mrauk-U,မြောက်ဦး,မဥန,mauna,0,,"('11',N'RKE013',N'Mrauk-U',N'မြောက်ဦး',N'မဥန',N'mauna',0),",,,
,11,RKE014,Kyauktaw,ကျောက်တော်,ကတန,katana,0,,"('11',N'RKE014',N'Kyauktaw',N'ကျောက်တော်',N'ကတန',N'katana',0),",,,
,11,RKE015,Minbya,မင်းပြား,မပန,mapana,0,,"('11',N'RKE015',N'Minbya',N'မင်းပြား',N'မပန',N'mapana',0),",,,
,11,RKE016,Myebon,မြေပုံ,မပတ,mapata,0,,"('11',N'RKE016',N'Myebon',N'မြေပုံ',N'မပတ',N'mapata',0),",,,
,11,RKE017,Thandwe,သံတွဲ,သတန,thatana,0,,"('11',N'RKE017',N'Thandwe',N'သံတွဲ',N'သတန',N'thatana',0),",,,
,11,RKE018,Gwa,ဂွ,ဂမန,gamana,0,,"('11',N'RKE018',N'Gwa',N'ဂွ',N'ဂမန',N'gamana',0),",,,
,11,RKE019,Kyeintali,ကျိန္တလီ,ကတလ,katala,0,,"('11',N'RKE019',N'Kyeintali',N'ကျိန္တလီ',N'ကတလ',N'katala',0),",,,
,11,RKE020,Ann,အမ်း,အမန,amana,0,,"('11',N'RKE020',N'Ann',N'အမ်း',N'အမန',N'amana',0),",,,
