NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,12,YGN001,Kyauktada,ကျောက်တံတား,ကတတ,katata,0,,"('12',N'YGN001',N'Kyauktada',N'ကျောက်တံတား',N'ကတတ',N'katata',0),",,,
,12,YGN002,Dagon,ဒဂုံ,ဒဂန,dagana,0,,"('12',N'YGN002',N'Dagon',N'ဒဂုံ',N'ဒဂန',N'dagana',0),",,,
,12,YGN003,Pabedan,ပန်းဘဲတန်း,ပဘတ,pabata,0,,"('12',N'YGN003',N'Pabedan',N'ပန်းဘဲတန်း',N'ပဘတ',N'pabata',0),",,,
,12,YGN004,Latha,လသာ,လသန,lathana,0,,"('12',N'YGN004',N'Latha',N'လသာ',N'လသန',N'lathana',0),",,,
,12,YGN005,Lanmadaw,လမ်းမတော်,လမတ,lamata,0,,"('12',N'YGN005',N'Lanmadaw',N'လမ်းမတော်',N'လမတ',N'lamata',0),",,,
,12,YGN006,Kamayut,ကမာရွတ်,ကမရ,kamara,0,,"('12',N'YGN006',N'Kamayut',N'ကမာရွတ်',N'ကမရ',N'kamara',0),",,,
,12,YGN007,Bahan,ဗဟန်း,ဗဟန,bahana,0,,"('12',N'YGN007',N'Bahan',N'ဗဟန်း',N'ဗဟန',N'bahana',0),",,,
,12,YGN008,Taikkyi,တိုက်ကြီး,တကန,takana,0,,"('12',N'YGN008',N'Taikkyi',N'တိုက်ကြီး',N'တကန',N'takana',0),",,,
,12,YGN009,Twantay,တွံတေး,တတန,tatana,0,,"('12',N'YGN009',N'Twantay',N'တွံတေး',N'တတန',N'tatana',0),",,,
,12,YGN010,Kawhmu,ကော့မှူး,ကမန,kamana,0,,"('12',N'YGN010',N'Kawhmu',N'ကော့မှူး',N'ကမန',N'kamana',0),",,,
,12,YGN011,Kunchangone,ကွမ်းခြံကုန်း,ကခက,kakhaka,0,,"('12',N'YGN011',N'Kunchangone',N'ကွမ်းခြံကုန်း',N'ကခက',N'kakhaka',0),",,,
,12,YGN012,Seikkyi Kanaungto,ဆိပ်ကြီးခနောင်တို,ဆကခ,hsakakha,0,,"('12',N'YGN012',N'Seikkyi Kanaungto',N'ဆိပ်ကြီးခနောင်တို',N'ဆကခ',N'hsakakha',0),",,,
,12,YGN013,Dala,ဒလ,ဒလန,dalana,0,,"('12',N'YGN013',N'Dala',N'ဒလ',N'ဒလန',N'dalana',0),",,,
,12,YGN014,Dagon Myothit (Seikkan),ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),ဒဂဆ,dagahsa,0,,"('12',N'YGN014',N'Dagon Myothit (Seikkan)',N'ဒဂုံမြို့သစ် (ဆိပ်ကမ်း)',N'ဒဂဆ',N'dagahsa',0),",,,
,12,YGN015,Dagon Myothit (South),ဒဂုံမြို့သစ် (တောင်ပိုင်း),ဒဂတ,dagata,0,,"('12',N'YGN015',N'Dagon Myothit (South)',N'ဒဂုံမြို့သစ် (တောင်ပိုင်း)',N'ဒဂတ',N'dagata',0),",,,
,12,YGN016,Dagon Myothit (North),ဒဂုံမြို့သစ် (မြောက်ပိုင်း),ဒဂမ,dagama,0,,"('12',N'YGN016',N'Dagon Myothit (North)',N'ဒဂုံမြို့သစ် (မြောက်ပိုင်း)',N'ဒဂမ',N'dagama',0),",,,
,12,YGN017,Dagon Myothit (East),ဒဂုံမြို့သစ် (အရှေ့ပိုင်း),ဒဂရ,dagara,0,,"('12',N'YGN017',N'Dagon Myothit (East)',N'ဒဂုံမြို့သစ် (အရှေ့ပိုင်း)',N'ဒဂရ',N'dagara',0),",,,
,12,YGN018,Botataung,ဗိုလ်တထောင်,ဗတထ,batahta,0,,"('12',N'YGN018',N'Botataung',N'ဗိုလ်တထောင်',N'ဗတထ',N'batahta',0),",,,
,12,YGN019,Seikkan,ဆိပ်ကမ်း,ဆကန,hsakana,0,,"('12',N'YGN019',N'Seikkan',N'ဆိပ်ကမ်း',N'ဆကန',N'hsakana',0),",,,
,12,YGN020,Dawbon,ဒေါပုံ,ဒပန,dapana,0,,"('12',N'YGN020',N'Dawbon',N'ဒေါပုံ',N'ဒပန',N'dapana',0),",,,
,12,YGN021,Pazundaung,ပုဇွန်တောင်,ပဇတ,pazata,0,,"('12',N'YGN021',N'Pazundaung',N'ပုဇွန်တောင်',N'ပဇတ',N'pazata',0),",,,
,12,YGN022,Mingala Taungnyunt,မင်္ဂလာတောင်ညွန့်,မဂတ,magata,0,,"('12',N'YGN022',N'Mingala Taungnyunt',N'မင်္ဂလာတောင်ညွန့်',N'မဂတ',N'magata',0),",,,
,12,YGN023,Thaketa,သာကေတ,သကတ,thakata,0,,"('12',N'YGN023',N'Thaketa',N'သာကေတ',N'သကတ',N'thakata',0),",,,
,12,YGN024,Mayangon,မရမ်းကုန်း,မရက,maraka,0,,"('12',N'YGN024',N'Mayangon',N'မရမ်းကုန်း',N'မရက',N'maraka',0),",,,
,12,YGN025,North Okkalapa,မြောက်ဥက္ကလာပ,ဥကမ,ukama,0,,"('12',N'YGN025',N'North Okkalapa',N'မြောက်ဥက္ကလာပ',N'ဥကမ',N'ukama',0),",,,
,12,YGN026,Hlaing,လှိုင်,လမန,lamana,0,,"('12',N'YGN026',N'Hlaing',N'လှိုင်',N'လမန',N'lamana',0),",,,
,12,YGN027,Mingaladon,မင်္ဂလာဒုံ,မဂဒ,magada,0,,"('12',N'YGN027',N'Mingaladon',N'မင်္ဂလာဒုံ',N'မဂဒ',N'magada',0),",,,
,12,YGN028,Shwepyitha,ရွှေပြည်သာ,ရပသ,rapatha,0,,"('12',N'YGN028',N'Shwepyitha',N'ရွှေပြည်သာ',N'ရပသ',N'rapatha',0),",,,
,12,YGN029,Hmawbi,မှော်ဘီ,မဘန,mabana,0,,"('12',N'YGN029',N'Hmawbi',N'မှော်ဘီ',N'မဘန',N'mabana',0),",,,
,12,YGN030,Htantabin,ထန်းတပင်,ထတပ,htatapa,0,,"('12',N'YGN030',N'Htantabin',N'ထန်းတပင်',N'ထတပ',N'htatapa',0),",,,
,12,YGN031,Hlegu,လှည်းကူး,လကန,lakana,0,,"('12',N'YGN031',N'Hlegu',N'လှည်းကူး',N'လကန',N'lakana',0),",,,
,12,YGN032,Thingangyun,သင်္ဃန်းကျွန်း,သဃက,thagaka,0,,"('12',N'YGN032',N'Thingangyun',N'သင်္ဃန်းကျွန်း',N'သဃက',N'thagaka',0),",,,
,12,YGN033,Tamwe,တာမွေ,တမန,tamana,0,,"('12',N'YGN033',N'Tamwe',N'တာမွေ',N'တမန',N'tamana',0),",,,
,12,YGN034,South Okkalapa,တောင်ဥက္ကလာပ,ဥကတ,ukata,0,,"('12',N'YGN034',N'South Okkalapa',N'တောင်ဥက္ကလာပ',N'ဥကတ',N'ukata',0),",,,
,12,YGN035,Yankin,ရန်ကင်း,ရကန,rakana,0,,"('12',N'YGN035',N'Yankin',N'ရန်ကင်း',N'ရကန',N'rakana',0),",,,
,12,YGN036,Thanlyin,သန်လျင်,သလန,thalana,0,,"('12',N'YGN036',N'Thanlyin',N'သန်လျင်',N'သလန',N'thalana',0),",,,
,12,YGN037,Cocokyun,ကိုကိုးကျွန်း,ကကက,kakaka,0,,"('12',N'YGN037',N'Cocokyun',N'ကိုကိုးကျွန်း',N'ကကက',N'kakaka',0),",,,
,12,YGN038,Kyauktan,ကျောက်တန်း,ကတန,katana,0,,"('12',N'YGN038',N'Kyauktan',N'ကျောက်တန်း',N'ကတန',N'katana',0),",,,
,12,YGN039,Tantarr,တံတား,တတတ,tatata,0,,"('12',N'YGN039',N'Tantarr',N'တံတား',N'တတတ',N'tatata',0),",,,
,12,YGN040,Kayan,ခရမ်း,ခရန,kharana,0,,"('12',N'YGN040',N'Kayan',N'ခရမ်း',N'ခရန',N'kharana',0),",,,
,12,YGN041,Thongwa,သုံးခွ,သခန,thakhana,0,,"('12',N'YGN041',N'Thongwa',N'သုံးခွ',N'သခန',N'thakhana',0),",,,
,12,YGN042,Ahlon,အလုံ,အလန,alana,0,,"('12',N'YGN042',N'Ahlon',N'အလုံ',N'အလန',N'alana',0),",,,
,12,YGN043,Kyeemyindaing,ကြည့်မြင်တိုင်,ကမတ,kamata,0,,"('12',N'YGN043',N'Kyeemyindaing',N'ကြည့်မြင်တိုင်',N'ကမတ',N'kamata',0),",,,
,12,YGN044,Sanchaung,စမ်းချောင်း,စခန,sakhana,0,,"('12',N'YGN044',N'Sanchaung',N'စမ်းချောင်း',N'စခန',N'sakhana',0),",,,
,12,YGN045,Insein,အင်းစိန်,အစန,asana,0,,"('12',N'YGN045',N'Insein',N'အင်းစိန်',N'အစန',N'asana',0),",,,
,12,YGN046,Hlaingthaya (West),လှိုင်သာယာ (အနောက်ပိုင်း),လယန,layana,0,,"('12',N'YGN046',N'Hlaingthaya (West)',N'လှိုင်သာယာ (အနောက်ပိုင်း)',N'လယန',N'layana',0),",,,
,12,YGN047,Hlaingthaya (East),လှိုင်သာယာ (အရှေ့ပိုင်း),လယရ,layara,0,,"('12',N'YGN047',N'Hlaingthaya (East)',N'လှိုင်သာယာ (အရှေ့ပိုင်း)',N'လယရ',N'layara',0),",,,
,12,YGN048,Hlaingthaya,လှိုင်သာယာ,လသယ,lathaya,0,,"('12',N'YGN048',N'Hlaingthaya',N'လှိုင်သာယာ',N'လသယ',N'lathaya',0),",,,
