NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,13,SHN068,Kengtung,ကျိုင်းတုံ,ကတန,katana,0,,"('13',N'SHN068',N'Kengtung',N'ကျိုင်းတုံ',N'ကတန',N'katana',0),",,,
,13,SHN069,Mong Khet,မိုင်းခတ်,မခန,makhana,0,,"('13',N'SHN069',N'Mong Khet',N'မိုင်းခတ်',N'မခန',N'makhana',0),",,,
,13,SHN070,Mong Ping,မိုင်းပျဉ်း,မပတ,mapata,0,,"('13',N'SHN070',N'Mong Ping',N'မိုင်းပျဉ်း',N'မပတ',N'mapata',0),",,,
,13,SHN071,Tongta,တုံတာ,တတန,tatana,0,,"('13',N'SHN071',N'Tongta',N'တုံတာ',N'တတန',N'tatana',0),",,,
,13,SHN072,Tachileik,တာချီလိတ်,တခလ,takhala,0,,"('13',N'SHN072',N'Tachileik',N'တာချီလိတ်',N'တခလ',N'takhala',0),",,,
,13,SHN073,Talay,တာလေ,တလန,talana,0,,"('13',N'SHN073',N'Talay',N'တာလေ',N'တလန',N'talana',0),",,,
,13,SHN074,Kyaing Lap,ကျိုင်းလပ်,ကလထ,kalahta,0,,"('13',N'SHN074',N'Kyaing Lap',N'ကျိုင်းလပ်',N'ကလထ',N'kalahta',0),",,,
,13,SHN075,Mong Hpyak,မိုင်းဖြတ်,မဖန,maphana,0,,"('13',N'SHN075',N'Mong Hpyak',N'မိုင်းဖြတ်',N'မဖန',N'maphana',0),",,,
,13,SHN076,Mong Hsat,မိုင်းဆတ်,မဆန,mahsana,0,,"('13',N'SHN076',N'Mong Hsat',N'မိုင်းဆတ်',N'မဆန',N'mahsana',0),",,,
,13,SHN077,Mongkhoke,မိုင်းခုတ်,မခတ,makhata,0,,"('13',N'SHN077',N'Mongkhoke',N'မိုင်းခုတ်',N'မခတ',N'makhata',0),",,,
,13,SHN078,Mong Ton,မိုင်းတုံ,မတန,matana,0,,"('13',N'SHN078',N'Mong Ton',N'မိုင်းတုံ',N'မတန',N'matana',0),",,,
,13,SHN079,Ponparkyin,ပုံပါကျင်,ပပက,papaka,0,,"('13',N'SHN079',N'Ponparkyin',N'ပုံပါကျင်',N'ပပက',N'papaka',0),",,,
,13,SHN080,Mong Hta,မုံးထ,မထန,mahtana,0,,"('13',N'SHN080',N'Mong Hta',N'မုံးထ',N'မထန',N'mahtana',0),",,,
,13,SHN081,Mong Yawng,မိုင်းယောင်း,မယတ,mayata,0,,"('13',N'SHN081',N'Mong Yawng',N'မိုင်းယောင်း',N'မယတ',N'mayata',0),",,,
,13,SHN082,Mong Yu,မိုင်းယု,မယထ,mayahta,0,,"('13',N'SHN082',N'Mong Yu',N'မိုင်းယု',N'မယထ',N'mayahta',0),",,,
,13,SHN083,Mong Yang,မိုင်းယန်း,မယန,mayana,0,,"('13',N'SHN083',N'Mong Yang',N'မိုင်းယန်း',N'မယန',N'mayana',0),",,,
,13,SHN084,Mong Pawk,မိုင်းပေါက်,မပထ,mapahta,0,,"('13',N'SHN084',N'Mong Pawk',N'မိုင်းပေါက်',N'မပထ',N'mapahta',0),",,,
,13,SHN085,Mong Lar,မိုင်းလား,မလန,malana,0,,"('13',N'SHN085',N'Mong Lar',N'မိုင်းလား',N'မလန',N'malana',0),",,,
