NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,13,SHN032,Lashio,လားရှိုး,လရန,larana,0,,"('13',N'SHN032',N'Lashio',N'လားရှိုး',N'လရန',N'larana',0),",,,
,13,SHN033,Kunlong,ကွမ်းလုံ,ကလတ,kalata,0,,"('13',N'SHN033',N'Kunlong',N'ကွမ်းလုံ',N'ကလတ',N'kalata',0),",,,
,13,SHN034,Hseni,သိန္နီ,သနန,thanana,0,,"('13',N'SHN034',N'Hseni',N'သိန္နီ',N'သနန',N'thanana',0),",,,
,13,SHN035,Matman,မက်မန်း,ပယန,payana,0,,"('13',N'SHN035',N'Matman',N'မက်မန်း',N'ပယန',N'payana',0),",,,
,13,SHN036,Pangsang,ပန်ဆန်း,ပဆန,pahsana,0,,"('13',N'SHN036',N'Pangsang',N'ပန်ဆန်း',N'ပဆန',N'pahsana',0),",,,
,13,SHN037,Man Kan,မန်ကန်,မကထ,makahta,0,,"('13',N'SHN037',N'Man Kan',N'မန်ကန်',N'မကထ',N'makahta',0),",,,
,13,SHN038,Namphan,နားဖန်း,နဖန,naphana,0,,"('13',N'SHN038',N'Namphan',N'နားဖန်း',N'နဖန',N'naphana',0),",,,
,13,SHN039,Man-Hpai,မန်ဖန်,မဖတ,mahpata,0,,"('13',N'SHN039',N'Man-Hpai',N'မန်ဖန်',N'မဖတ',N'mahpata',0),",,,
,13,SHN040,Hopang,ဟိုပန်,ဟပတ,hapata,0,,"('13',N'SHN040',N'Hopang',N'ဟိုပန်',N'ဟပတ',N'hapata',0),",,,
,13,SHN041,Nantit,နမ့်တစ်,နတန,natana,0,,"('13',N'SHN041',N'Nantit',N'နမ့်တစ်',N'နတန',N'natana',0),",,,
,13,SHN042,Panlong,ပန်လုံ,ပလထ,palahta,0,,"('13',N'SHN042',N'Panlong',N'ပန်လုံ',N'ပလထ',N'palahta',0),",,,
,13,SHN043,Mongmao,မိုင်းမော,မမထ,mamahta,0,,"('13',N'SHN043',N'Mongmao',N'မိုင်းမော',N'မမထ',N'mamahta',0),",,,
,13,SHN044,Pangwaing,ပန်ဝိုင်း,ပဝန,pawana,0,,"('13',N'SHN044',N'Pangwaing',N'ပန်ဝိုင်း',N'ပဝန',N'pawana',0),",,,
,13,SHN045,Kyaukme,ကျောက်မဲ,ကမန,kamana,0,,"('13',N'SHN045',N'Kyaukme',N'ကျောက်မဲ',N'ကမန',N'kamana',0),",,,
,13,SHN046,Mongngawt,မိုင်းငေါ့,မငန,mangana,0,,"('13',N'SHN046',N'Mongngawt',N'မိုင်းငေါ့',N'မငန',N'mangana',0),",,,
,13,SHN047,Monglong,မိုင်းလုံ,မလတ,malata,0,,"('13',N'SHN047',N'Monglong',N'မိုင်းလုံ',N'မလတ',N'malata',0),",,,
,13,SHN048,Hsipaw,သီပေါ,သပန,thapana,0,,"('13',N'SHN048',N'Hsipaw',N'သီပေါ',N'သပန',N'thapana',0),",,,
,13,SHN049,Nawnghkio,နောင်ချို,နခတ,nakhata,0,,"('13',N'SHN049',N'Nawnghkio',N'နောင်ချို',N'နခတ',N'nakhata',0),",,,
,13,SHN050,Namtu,နမ္မတူ,နမတ,namata,0,,"('13',N'SHN050',N'Namtu',N'နမ္မတူ',N'နမတ',N'namata',0),",,,
,13,SHN051,Kutkai,ကွတ်ခိုင်,ကခန,kakhana,0,,"('13',N'SHN051',N'Kutkai',N'ကွတ်ခိုင်',N'ကခန',N'kakhana',0),",,,
,13,SHN052,Tamoenye,တာမိုးညဲ,တမည,tamanya,0,,"('13',N'SHN052',N'Tamoenye',N'တာမိုးညဲ',N'တမည',N'tamanya',0),",,,
,13,SHN053,Tangyan,တန့်ယန်း,တယန,tayana,0,,"('13',N'SHN053',N'Tangyan',N'တန့်ယန်း',N'တယန',N'tayana',0),",,,
,13,SHN054,Mongyai,မိုင်းရယ်,မရတ,marata,0,,"('13',N'SHN054',N'Mongyai',N'မိုင်းရယ်',N'မရတ',N'marata',0),",,,
,13,SHN055,Muse,မူဆယ်,မဆတ,mahsata,0,,"('13',N'SHN055',N'Muse',N'မူဆယ်',N'မဆတ',N'mahsata',0),",,,
,13,SHN056,Mongko,မုန်းကိုး,မကတ,makata,0,,"('13',N'SHN056',N'Mongko',N'မုန်းကိုး',N'မကတ',N'makata',0),",,,
