NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,13,SHN001,Taunggyi,တောင်ကြီး,တကန,takana,0,,"('13',N'SHN001',N'Taunggyi',N'တောင်ကြီး',N'တကန',N'takana',0),",,,
,13,SHN002,Kyauktalongyi,ကျောက်တလုံးကြီး,ကတလ,katala,0,,"('13',N'SHN002',N'Kyauktalongyi',N'ကျောက်တလုံးကြီး',N'ကတလ',N'katala',0),",,,
,13,SHN003,Yatsauk,ရပ်စောက်,ရစန,rasana,0,,"('13',N'SHN003',N'Yatsauk',N'ရပ်စောက်',N'ရစန',N'rasana',0),",,,
,13,SHN004,Indaw,အင်းတော,အတန,atana,0,,"('13',N'SHN004',N'Indaw',N'အင်းတော',N'အတန',N'atana',0),",,,
,13,SHN005,Kalaw,ကလော,ကလန,kalana,0,,"('13',N'SHN005',N'Kalaw',N'ကလော',N'ကလန',N'kalana',0),",,,
,13,SHN006,Nyaungshwe,ညောင်ရွှေ,ညရန,nyarana,0,,"('13',N'SHN006',N'Nyaungshwe',N'ညောင်ရွှေ',N'ညရန',N'nyarana',0),",,,
,13,SHN007,Pekon,ဖယ်ခုံ,ဖခန,phakhana,0,,"('13',N'SHN007',N'Pekon',N'ဖယ်ခုံ',N'ဖခန',N'phakhana',0),",,,
,13,SHN008,Namhkam,နမ့်စန်,နစန,nasana,0,,"('13',N'SHN008',N'Namhkam',N'နမ့်စန်',N'နစန',N'nasana',0),",,,
,13,SHN009,Kholam,ခိုလမ်,ခလန,khalana,0,,"('13',N'SHN009',N'Kholam',N'ခိုလမ်',N'ခလန',N'khalana',0),",,,
,13,SHN010,Kunhing,ကွန်ဟိန်း,ကဟန,kahana,0,,"('13',N'SHN010',N'Kunhing',N'ကွန်ဟိန်း',N'ကဟန',N'kahana',0),",,,
,13,SHN011,Kali,ကာလိ,ကလဒ,kalada,0,,"('13',N'SHN011',N'Kali',N'ကာလိ',N'ကလဒ',N'kalada',0),",,,
,13,SHN012,Mongnai,မိုင်းနဲ,မနန,manana,0,,"('13',N'SHN012',N'Mongnai',N'မိုင်းနဲ',N'မနန',N'manana',0),",,,
,13,SHN013,Kengtung,ကျိုင်းတောင်,ကတတ,katata,0,,"('13',N'SHN013',N'Kengtung',N'ကျိုင်းတောင်',N'ကတတ',N'katata',0),",,,
,13,SHN014,Monghsu,မိုင်းရှူး,မရန,marana,0,,"('13',N'SHN014',N'Monghsu',N'မိုင်းရှူး',N'မရန',N'marana',0),",,,
,13,SHN015,Mongsan,မိုင်းစံ,မစန,masana,0,,"('13',N'SHN015',N'Mongsan',N'မိုင်းစံ',N'မစန',N'masana',0),",,,
,13,SHN016,Kyethi,ကျေးသီး,ကသန,kathana,0,,"('13',N'SHN016',N'Kyethi',N'ကျေးသီး',N'ကသန',N'kathana',0),",,,
,13,SHN017,Mongnawng,မိုင်းနောက်,မနတ,manata,0,,"('13',N'SHN017',N'Mongnawng',N'မိုင်းနောက်',N'မနတ',N'manata',0),",,,
,13,SHN018,Linkhay,လင်းခေး,လခတ,lakhata,0,,"('13',N'SHN018',N'Linkhay',N'လင်းခေး',N'လခတ',N'lakhata',0),",,,
,13,SHN019,Homane,ဟိုမိန်း,ဟမန,hamana,0,,"('13',N'SHN019',N'Homane',N'ဟိုမိန်း',N'ဟမန',N'hamana',0),",,,
,13,SHN020,Mongpan,မိုင်းပန်,မပန,mapana,0,,"('13',N'SHN020',N'Mongpan',N'မိုင်းပန်',N'မပန',N'mapana',0),",,,
,13,SHN021,Mawkmai,မောက်မယ်,မမန,mamana,0,,"('13',N'SHN021',N'Mawkmai',N'မောက်မယ်',N'မမန',N'mamana',0),",,,
,13,SHN022,Loilen,လွိုင်လင်,လလန,lalana,0,,"('13',N'SHN022',N'Loilen',N'လွိုင်လင်',N'လလန',N'lalana',0),",,,
,13,SHN023,Panglong,ပင်လုံ,ပလန,palana,0,,"('13',N'SHN023',N'Panglong',N'ပင်လုံ',N'ပလန',N'palana',0),",,,
,13,SHN024,Mongkaing,မိုင်းကိုင်,မကန,makana,0,,"('13',N'SHN024',N'Mongkaing',N'မိုင်းကိုင်',N'မကန',N'makana',0),",,,
,13,SHN025,Lai-Hka,လဲချား,လခန,lakhana,0,,"('13',N'SHN025',N'Lai-Hka',N'လဲချား',N'လခန',N'lakhana',0),",,,
,13,SHN026,Ywangan,ရွာငံ,ရငန,rangana,0,,"('13',N'SHN026',N'Ywangan',N'ရွာငံ',N'ရငန',N'rangana',0),",,,
,13,SHN027,Pindaya,ပင်းတယ,ပတယ,pataya,0,,"('13',N'SHN027',N'Pindaya',N'ပင်းတယ',N'ပတယ',N'pataya',0),",,,
,13,SHN028,Hopong,ဟိုပုံး,ဟပန,hapana,0,,"('13',N'SHN028',N'Hopong',N'ဟိုပုံး',N'ဟပန',N'hapana',0),",,,
,13,SHN029,Hsi Hseng,ဆီဆိုင်,ဆဆန,hsahsana,0,,"('13',N'SHN029',N'Hsi Hseng',N'ဆီဆိုင်',N'ဆဆန',N'hsahsana',0),",,,
,13,SHN030,Pinlaung,ပင်လောင်း,ပလန,palana,0,,"('13',N'SHN030',N'Pinlaung',N'ပင်လောင်း',N'ပလန',N'palana',0),",,,
,13,SHN031,Nawn-tara,နောင်တရား,နတရ,natara,0,,"('13',N'SHN031',N'Nawn-tara',N'နောင်တရား',N'နတရ',N'natara',0),",,,
