NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,14,AYY001,Pathein,ပုသိမ်,ပသန,pathana,0,,"('14',N'AYY001',N'Pathein',N'ပုသိမ်',N'ပသန',N'pathana',0),",,,
,14,AYY002,Shwethaungyan,ရွှေသောင်ယံ,ရသယ,rathaya,0,,"('14',N'AYY002',N'Shwethaungyan',N'ရွှေသောင်ယံ',N'ရသယ',N'rathaya',0),",,,
,14,AYY003,Ngwesaung,ငွေဆောင်,ငဆန,ngahsana,0,,"('14',N'AYY003',N'Ngwesaung',N'ငွေဆောင်',N'ငဆန',N'ngahsana',0),",,,
,14,AYY004,Kangyidaunt,ကန်ကြီးထောင့်,ကကထ,kakahta,0,,"('14',N'AYY004',N'Kangyidaunt',N'ကန်ကြီးထောင့်',N'ကကထ',N'kakahta',0),",,,
,14,AYY005,Kangyidaunt,ကန်ကြီးထောင့်,ပသရ,pathara,0,,"('14',N'AYY005',N'Kangyidaunt',N'ကန်ကြီးထောင့်',N'ပသရ',N'pathara',0),",,,
,14,AYY006,Ngapudaw,ငပုတော,ငပတ,ngapata,0,,"('14',N'AYY006',N'Ngapudaw',N'ငပုတော',N'ငပတ',N'ngapata',0),",,,
,14,AYY007,Ngayokaung,ငရုတ်ကောင်း,ငရက,ngaraka,0,,"('14',N'AYY007',N'Ngayokaung',N'ငရုတ်ကောင်း',N'ငရက',N'ngaraka',0),",,,
,14,AYY008,Hainggyikyun,ဟိုင်းကြီးကျွန်း,ဟကက,hakaka,0,,"('14',N'AYY008',N'Hainggyikyun',N'ဟိုင်းကြီးကျွန်း',N'ဟကက',N'hakaka',0),",,,
,14,AYY009,Thabaung,သာပေါင်း,သပန,thapana,0,,"('14',N'AYY009',N'Thabaung',N'သာပေါင်း',N'သပန',N'thapana',0),",,,
,14,AYY010,Kyonpyaw,ကျုံပျော်,ကပန,kapana,0,,"('14',N'AYY010',N'Kyonpyaw',N'ကျုံပျော်',N'ကပန',N'kapana',0),",,,
