NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,1,KCH001,Myitkyina,မြစ်ကြီးနား,မကန,makana,0,,"('1',N'KCH001',N'Myitkyina',N'မြစ်ကြီးနား',N'မကန',N'makana',0),",,,
,1,KCH002,Hsinbo,ဆင်ဘို,ဆဘတ,hsabata,0,,"('1',N'KCH002',N'Hsinbo',N'ဆင်ဘို',N'ဆဘတ',N'hsabata',0),",,,
,1,KCH003,Waimaw,ဝိုင်းမော်,ဝမန,wamana,0,,"('1',N'KCH003',N'Waimaw',N'ဝိုင်းမော်',N'ဝမန',N'wamana',0),",,,
,1,KCH004,Sadung,ဆဒုံး,ဆဒန,hsadana,0,,"('1',N'KCH004',N'Sadung',N'ဆဒုံး',N'ဆဒန',N'hsadana',0),",,,
,1,KCH005,Chipwi,ချီဖွေ,ကပတ,kapata,0,,"('1',N'KCH005',N'Chipwi',N'ချီဖွေ',N'ကပတ',N'kapata',0),",,,
,1,KCH006,Hsawlaw,ဆော့လော်,အဂယ,agaya,0,,"('1',N'KCH006',N'Hsawlaw',N'ဆော့လော်',N'အဂယ',N'agaya',0),",,,
,1,KCH007,Chiphwe,ချီဖွေ,ခဖန,khaphana,0,,"('1',N'KCH007',N'Chiphwe',N'ချီဖွေ',N'ခဖန',N'khaphana',0),",,,
,1,KCH008,Panwa,ပန်ဝါ,ပဝန,pawana,0,,"('1',N'KCH008',N'Panwa',N'ပန်ဝါ',N'ပဝန',N'pawana',0),",,,
,1,KCH009,Sumprabum,ဆွမ်ပရာဘွမ်,ဆလန,hsalana,0,,"('1',N'KCH009',N'Sumprabum',N'ဆွမ်ပရာဘွမ်',N'ဆလန',N'hsalana',0),",,,
,1,KCH010,Tanai,တနိုင်း,တနန,tanana,0,,"('1',N'KCH010',N'Tanai',N'တနိုင်း',N'တနန',N'tanana',0),",,,
,1,KCH011,Shingbwiyang,ရှင်ဗွေယန်,ရဗယ,rabaya,0,,"('1',N'KCH011',N'Shingbwiyang',N'ရှင်ဗွေယန်',N'ရဗယ',N'rabaya',0),",,,
,1,KCH012,Putao,ပူတာအို,ပတအ,pataa,0,,"('1',N'KCH012',N'Putao',N'ပူတာအို',N'ပတအ',N'pataa',0),",,,
,1,KCH013,Khaunglanhpu,ခေါင်လန်ဖူး,ခဘဒ,khabada,0,,"('1',N'KCH013',N'Khaunglanhpu',N'ခေါင်လန်ဖူး',N'ခဘဒ',N'khabada',0),",,,
,1,KCH014,Machanbaw,မချမ်းဘော,ဆပဘ,hsapaba,0,,"('1',N'KCH014',N'Machanbaw',N'မချမ်းဘော',N'ဆပဘ',N'hsapaba',0),",,,
,1,KCH015,Nawngmun,နောင်မွန်း,နမန,namana,0,,"('1',N'KCH015',N'Nawngmun',N'နောင်မွန်း',N'နမန',N'namana',0),",,,
,1,KCH016,Pannandin,ပန်နန်းဒင်,ပနဒ,panada,0,,"('1',N'KCH016',N'Pannandin',N'ပန်နန်းဒင်',N'ပနဒ',N'panada',0),",,,
,1,KCH017,Myohla,မြို့လှ,မခဘ,makhaba,0,,"('1',N'KCH017',N'Myohla',N'မြို့လှ',N'မခဘ',N'makhaba',0),",,,
,1,KCH018,Bhamo,ဗန်းမော်,ဗမန,bamana,0,,"('1',N'KCH018',N'Bhamo',N'ဗန်းမော်',N'ဗမန',N'bamana',0),",,,
,1,KCH019,Mansi,မန်စီ,မစန,masana,0,,"('1',N'KCH019',N'Mansi',N'မန်စီ',N'မစန',N'masana',0),",,,
,1,KCH020,Momauk,မိုးမောက်,မမန,mamana,0,,"('1',N'KCH020',N'Momauk',N'မိုးမောက်',N'မမန',N'mamana',0),",,,
,1,KCH021,Lweje,လွယ်ဂျယ်,လဂန,lagana,0,,"('1',N'KCH021',N'Lweje',N'လွယ်ဂျယ်',N'လဂန',N'lagana',0),",,,
,1,KCH022,Dotphoneyan,ဒေါ့ဖုန်းယန်,ဒဖယ,daphaya,0,,"('1',N'KCH022',N'Dotphoneyan',N'ဒေါ့ဖုန်းယန်',N'ဒဖယ',N'daphaya',0),",,,
,1,KCH023,Shwegu,ရွှေကူ,ရကန,rakana,0,,"('1',N'KCH023',N'Shwegu',N'ရွှေကူ',N'ရကန',N'rakana',0),",,,
,1,KCH024,Mogaung,မိုးကောင်း,မလန,malana,0,,"('1',N'KCH024',N'Mogaung',N'မိုးကောင်း',N'မလန',N'malana',0),",,,
,1,KCH025,Mohnyin,မိုးညှင်း,မညန,manyana,0,,"('1',N'KCH025',N'Mohnyin',N'မိုးညှင်း',N'မညန',N'manyana',0),",,,
,1,KCH026,Hopin,ဟိုပင်,ဟပန,hapana,0,,"('1',N'KCH026',N'Hopin',N'ဟိုပင်',N'ဟပန',N'hapana',0),",,,
,1,KCH027,Hpakant,ဖားကန့်,ကမန,kamana,0,,"('1',N'KCH027',N'Hpakant',N'ဖားကန့်',N'ကမန',N'kamana',0),",,,
,1,KCH028,Kamaing,ကာမိုင်း,ကမတ,kamata,0,,"('1',N'KCH028',N'Kamaing',N'ကာမိုင်း',N'ကမတ',N'kamata',0),",,,
,1,KCH029,Moekaung,မိုးကောင်း,မကတ,makata,0,,"('1',N'KCH029',N'Moekaung',N'မိုးကောင်း',N'မကတ',N'makata',0),",,,
