NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,3,KAY001,Hpa-an,ဘားအံ,ဘအန,baana,0,,"('3',N'KAY001',N'Hpa-an',N'ဘားအံ',N'ဘအန',N'baana',0),",,,
,3,KAY002,Hlaingbwe,လှိုင်းဘွဲ,လဘန,labana,0,,"('3',N'KAY002',N'Hlaingbwe',N'လှိုင်းဘွဲ',N'လဘန',N'labana',0),",,,
,3,KAY003,Paingkyon,ပိုင်ကျုံ,ပကန,pakana,0,,"('3',N'KAY003',N'Paingkyon',N'ပိုင်ကျုံ',N'ပကန',N'pakana',0),",,,
,3,KAY004,Shan Ywathit,ရှမ်းရွာသစ်,ရရသ,raratha,0,,"('3',N'KAY004',N'Shan Ywathit',N'ရှမ်းရွာသစ်',N'ရရသ',N'raratha',0),",,,
,3,KAY005,Kawkareik,ကော့ကရိတ်,ကကရ,kakara,0,,"('3',N'KAY005',N'Kawkareik',N'ကော့ကရိတ်',N'ကကရ',N'kakara',0),",,,
,3,KAY006,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,ကဆက,kahsaka,0,,"('3',N'KAY006',N'Kyainseikgyi',N'ကြာအင်းဆိပ်ကြီး',N'ကဆက',N'kahsaka',0),",,,
,3,KAY007,Payathonzu,ဘုရားသုံးဆူ,ဘသဆ,bathahsa,0,,"('3',N'KAY007',N'Payathonzu',N'ဘုရားသုံးဆူ',N'ဘသဆ',N'bathahsa',0),",,,
,3,KAY008,Kyondoe,ကျိုက်ဒုံ,ကဒန,kadana,0,,"('3',N'KAY008',N'Kyondoe',N'ကျိုက်ဒုံ',N'ကဒန',N'kadana',0),",,,
,3,KAY009,Hpapun,ဖာပွန်,ဖပန,phapana,0,,"('3',N'KAY009',N'Hpapun',N'ဖာပွန်',N'ဖပန',N'phapana',0),",,,
,3,KAY010,Kamamaung,ကမမောင်း,ကမမ,kamama,0,,"('3',N'KAY010',N'Kamamaung',N'ကမမောင်း',N'ကမမ',N'kamama',0),",,,
,3,KAY011,Myawaddy,မြဝတီ,မဝတ,mawata,0,,"('3',N'KAY011',N'Myawaddy',N'မြဝတီ',N'မဝတ',N'mawata',0),",,,
,3,KAY012,Sugali,စုကလိ,စကလ,sakala,0,,"('3',N'KAY012',N'Sugali',N'စုကလိ',N'စကလ',N'sakala',0),",,,
,3,KAY013,Wawlaymyaing,ဝေါလေမြိုင်,ဝလမ,walama,0,,"('3',N'KAY013',N'Wawlaymyaing',N'ဝေါလေမြိုင်',N'ဝလမ',N'walama',0),",,,
,3,KAY014,Leiktho,လိပ်သို,လသန,lathana,0,,"('3',N'KAY014',N'Leiktho',N'လိပ်သို',N'လသန',N'lathana',0),",,,
,3,KAY015,Bawgali,ဘောဂလိ,ဘဂလ,bagala,0,,"('3',N'KAY015',N'Bawgali',N'ဘောဂလိ',N'ဘဂလ',N'bagala',0),",,,
,3,KAY016,Thandaunggyi,သံတောင်ကြီး,သတန,thatana,0,,"('3',N'KAY016',N'Thandaunggyi',N'သံတောင်ကြီး',N'သတန',N'thatana',0),",,,
,3,KAY017,Thandaunggyi,သံတောင်ကြီး,သတက,thataka,0,,"('3',N'KAY017',N'Thandaunggyi',N'သံတောင်ကြီး',N'သတက',N'thataka',0),",,,
