NrcTownShipId,StateCode,TownShipCode,StateCode,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,4,CHN001,Hakha,ဟားခါး,ဟခန,hakhana,0,,"('4',N'CHN001',N'Hakha',N'ဟားခါး',N'ဟခန',N'hakhana',0),",,,
,4,CHN002,Htantlang,ထန်တလန်,ထတလ,htatala,0,,"('4',N'CHN002',N'Htantlang',N'ထန်တလန်',N'ထတလ',N'htatala',0),",,,
,4,CHN003,Tedim,တီးတိန်,တတန,tatana,0,,"('4',N'CHN003',N'Tedim',N'တီးတိန်',N'တတန',N'tatana',0),",,,
,4,CHN004,Tonzang,တွန်းဇံ,တဇန,tazana,0,,"('4',N'CHN004',N'Tonzang',N'တွန်းဇံ',N'တဇန',N'tazana',0),",,,
,4,CHN005,Cikha,ကျီခါး,ကခန,kakhana,0,,"('4',N'CHN005',N'Cikha',N'ကျီခါး',N'ကခန',N'kakhana',0),",,,
,4,CHN006,Paletwa,ပလက်ဝ,ပလဝ,palawa,0,,"('4',N'CHN006',N'Paletwa',N'ပလက်ဝ',N'ပလဝ',N'palawa',0),",,,
,4,CHN007,Samee,ဆမီး,ဆမန,hsamana,0,,"('4',N'CHN007',N'Samee',N'ဆမီး',N'ဆမန',N'hsamana',0),",,,
,4,CHN008,Falam,ဖလမ်း,ဖလန,phalana,0,,"('4',N'CHN008',N'Falam',N'ဖလမ်း',N'ဖလန',N'phalana',0),",,,
,4,CHN009,Rikhawdar,ရိခေါဒါရ်,ရခဒ,rakhada,0,,"('4',N'CHN009',N'Rikhawdar',N'ရိခေါဒါရ်',N'ရခဒ',N'rakhada',0),",,,
,4,CHN010,Matupi,မတူပီ,မတပ,matapa,0,,"('4',N'CHN010',N'Matupi',N'မတူပီ',N'မတပ',N'matapa',0),",,,
,4,CHN011,Rezua,ရေဇွာ,ရဇန,razana,0,,"('4',N'CHN011',N'Rezua',N'ရေဇွာ',N'ရဇန',N'razana',0),",,,
,4,CHN012,Mindat,မင်းတပ်,မတန,matana,0,,"('4',N'CHN012',N'Mindat',N'မင်းတပ်',N'မတန',N'matana',0),",,,
,4,CHN013,Kanpetlet,ကန်ပက်လက်,ကပလ,kapala,0,,"('4',N'CHN013',N'Kanpetlet',N'ကန်ပက်လက်',N'ကပလ',N'kapala',0),",,,
