NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,5,SGG001,Monywa,မုံရွာ,မရန,marana,0,,"('5',N'SGG001',N'Monywa',N'မုံရွာ',N'မရန',N'marana',0),",,,
,5,SGG002,Chaung-U,ချောင်းဦး,ခဥတ,khauta,0,,"('5',N'SGG002',N'Chaung-U',N'ချောင်းဦး',N'ခဥတ',N'khauta',0),",,,
,5,SGG003,Budalin,ဘုတလင်,ဘတလ,batala,0,,"('5',N'SGG003',N'Budalin',N'ဘုတလင်',N'ဘတလ',N'batala',0),",,,
,5,SGG004,Ayadaw,အရာတော်,အရတ,arata,0,,"('5',N'SGG004',N'Ayadaw',N'အရာတော်',N'အရတ',N'arata',0),",,,
,5,SGG005,Kale,ကလေး,ကလထ,kalahta,0,,"('5',N'SGG005',N'Kale',N'ကလေး',N'ကလထ',N'kalahta',0),",,,
,5,SGG006,Kalewa,ကလေးဝ,ကလဝ,kalawa,0,,"('5',N'SGG006',N'Kalewa',N'ကလေးဝ',N'ကလဝ',N'kalawa',0),",,,
,5,SGG007,Mingin,မင်းကင်း,မကန,makana,0,,"('5',N'SGG007',N'Mingin',N'မင်းကင်း',N'မကန',N'makana',0),",,,
,5,SGG008,Katha,ကသာ,ကသန,kathana,0,,"('5',N'SGG008',N'Katha',N'ကသာ',N'ကသန',N'kathana',0),",,,
,5,SGG009,Htigyaing,ထီးချိုင့်,ထခန,htakhana,0,,"('5',N'SGG009',N'Htigyaing',N'ထီးချိုင့်',N'ထခန',N'htakhana',0),",,,
,5,SGG010,Banmauk,ဗန်းမောက်,ဗမန,bamana,0,,"('5',N'SGG010',N'Banmauk',N'ဗန်းမောက်',N'ဗမန',N'bamana',0),",,,
,5,SGG011,Indaw,အင်းတော်,အတန,atana,0,,"('5',N'SGG011',N'Indaw',N'အင်းတော်',N'အတန',N'atana',0),",,,
,5,SGG012,Kawlin,ကောလင်း,ကလတ,kalata,0,,"('5',N'SGG012',N'Kawlin',N'ကောလင်း',N'ကလတ',N'kalata',0),",,,
,5,SGG013,Wuntho,ဝန်းသို,ဝသန,wathana,0,,"('5',N'SGG013',N'Wuntho',N'ဝန်းသို',N'ဝသန',N'wathana',0),",,,
,5,SGG014,Pinlebu,ပင်လည်ဘူး,ပလဘ,palaba,0,,"('5',N'SGG014',N'Pinlebu',N'ပင်လည်ဘူး',N'ပလဘ',N'palaba',0),",,,
