NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,6,TNI001,Dawei,ထားဝယ်,ထဝန,htawana,0,,"('6',N'TNI001',N'Dawei',N'ထားဝယ်',N'ထဝန',N'htawana',0),",,,
,6,TNI002,Myitta,မေတ္တာ,မတန,matana,0,,"('6',N'TNI002',N'Myitta',N'မေတ္တာ',N'မတန',N'matana',0),",,,
,6,TNI003,Yebyu,ရေဖြူ,ရဖန,raphana,0,,"('6',N'TNI003',N'Yebyu',N'ရေဖြူ',N'ရဖန',N'raphana',0),",,,
,6,TNI004,Kaleinaung,ကလိန်အောင်,ကလအ,kalaa,0,,"('6',N'TNI004',N'Kaleinaung',N'ကလိန်အောင်',N'ကလအ',N'kalaa',0),",,,
,6,TNI005,Launglon,လောင်းလုံ,လလန,lalana,0,,"('6',N'TNI005',N'Launglon',N'လောင်းလုံ',N'လလန',N'lalana',0),",,,
,6,TNI006,Thayetchaung,သရက်ချောင်း,သရခ,tharakha,0,,"('6',N'TNI006',N'Thayetchaung',N'သရက်ချောင်း',N'သရခ',N'tharakha',0),",,,
,6,TNI007,Kawthaung,ကော့သောင်း,ကသန,kathana,0,,"('6',N'TNI007',N'Kawthaung',N'ကော့သောင်း',N'ကသန',N'kathana',0),",,,
,6,TNI008,Khamaukgyi,ခမောက်ကြီး,ခမက,khamaka,0,,"('6',N'TNI008',N'Khamaukgyi',N'ခမောက်ကြီး',N'ခမက',N'khamaka',0),",,,
,6,TNI009,Bokpyin,ဘုတ်ပြင်း,ဘပန,bapana,0,,"('6',N'TNI009',N'Bokpyin',N'ဘုတ်ပြင်း',N'ဘပန',N'bapana',0),",,,
,6,TNI010,Pyigyimandaing,ပြည်ကြီးမဏ္ဍိုင်,ပကမ,pakama,0,,"('6',N'TNI010',N'Pyigyimandaing',N'ပြည်ကြီးမဏ္ဍိုင်',N'ပကမ',N'pakama',0),",,,
,6,TNI011,Karathuri,ကရသူရိ,ကရရ,karara,0,,"('6',N'TNI011',N'Karathuri',N'ကရသူရိ',N'ကရရ',N'karara',0),",,,
,6,TNI012,Myeik,မြိတ်,မအရ,maara,0,,"('6',N'TNI012',N'Myeik',N'မြိတ်',N'မအရ',N'maara',0),",,,
,6,TNI013,Myeik,မြိတ်,မမန,mamana,0,,"('6',N'TNI013',N'Myeik',N'မြိတ်',N'မမန',N'mamana',0),",,,
,6,TNI014,Kyunsu,ကျွန်းစု,မအန,maana,0,,"('6',N'TNI014',N'Kyunsu',N'ကျွန်းစု',N'မအန',N'maana',0),",,,
,6,TNI015,Kyunsu,ကျွန်းစု,ကစန,kasana,0,,"('6',N'TNI015',N'Kyunsu',N'ကျွန်းစု',N'ကစန',N'kasana',0),",,,
,6,TNI016,Tanintharyi,တနင်္သာရီ,တသရ,tathara,0,,"('6',N'TNI016',N'Tanintharyi',N'တနင်္သာရီ',N'တသရ',N'tathara',0),",,,
,6,TNI017,Palaw,ပုလော,ပလန,palana,0,,"('6',N'TNI017',N'Palaw',N'ပုလော',N'ပလန',N'palana',0),",,,
,6,TNI018,Palauk,ပလောက်,ပလတ,palata,0,,"('6',N'TNI018',N'Palauk',N'ပလောက်',N'ပလတ',N'palata',0),",,,
