NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,7,BGO001,Bago,ပဲခူး,ပခန,pakhana,0,,"('7',N'BGO001',N'Bago',N'ပဲခူး',N'ပခန',N'pakhana',0),",,,
,7,BGO002,Kawa,ကဝ,ကဝန,kawana,0,,"('7',N'BGO002',N'Kawa',N'ကဝ',N'ကဝန',N'kawana',0),",,,
,7,BGO003,Waw,ဝေါ,ဝမန,wamana,0,,"('7',N'BGO003',N'Waw',N'ဝေါ',N'ဝမန',N'wamana',0),",,,
,7,BGO004,Thanatpin,သနပ်ပင်,သနပ,thanapa,0,,"('7',N'BGO004',N'Thanatpin',N'သနပ်ပင်',N'သနပ',N'thanapa',0),",,,
,7,BGO005,Nyaunglebin,ညောင်လေးပင်,ညလပ,nyalapa,0,,"('7',N'BGO005',N'Nyaunglebin',N'ညောင်လေးပင်',N'ညလပ',N'nyalapa',0),",,,
,7,BGO006,Kyaukkyi,ကျောက်ကြီး,ကကန,kakana,0,,"('7',N'BGO006',N'Kyaukkyi',N'ကျောက်ကြီး',N'ကကန',N'kakana',0),",,,
,7,BGO007,Kyauktaga,ကျောက်တံခါး,ကတခ,katakha,0,,"('7',N'BGO007',N'Kyauktaga',N'ကျောက်တံခါး',N'ကတခ',N'katakha',0),",,,
,7,BGO008,Daik-U,ဒိုက်ဦး,ဒဥန,dauna,0,,"('7',N'BGO008',N'Daik-U',N'ဒိုက်ဦး',N'ဒဥန',N'dauna',0),",,,
,7,BGO009,Shwegyin,ရွှေကျင်,ရကန,rakana,0,,"('7',N'BGO009',N'Shwegyin',N'ရွှေကျင်',N'ရကန',N'rakana',0),",,,
,7,BGO010,Taungoo,တောင်ငူ,တငန,tangana,0,,"('7',N'BGO010',N'Taungoo',N'တောင်ငူ',N'တငန',N'tangana',0),",,,
,7,BGO011,Htantabin,ထန်းတပင်,ထတပ,htatapa,0,,"('7',N'BGO011',N'Htantabin',N'ထန်းတပင်',N'ထတပ',N'htatapa',0),",,,
,7,BGO012,Phyu,ဖြူး,ဖမန,phamana,0,,"('7',N'BGO012',N'Phyu',N'ဖြူး',N'ဖမန',N'phamana',0),",,,
,7,BGO013,Yedashe,ရေတာရှည်,ရတရ,ratara,0,,"('7',N'BGO013',N'Yedashe',N'ရေတာရှည်',N'ရတရ',N'ratara',0),",,,
,7,BGO014,Oktwin,အုတ်တွင်း,အတန,atana,0,,"('7',N'BGO014',N'Oktwin',N'အုတ်တွင်း',N'အတန',N'atana',0),",,,
,7,BGO015,Nattalin,နတ်တလင်း,နတလ,natala,0,,"('7',N'BGO015',N'Nattalin',N'နတ်တလင်း',N'နတလ',N'natala',0),",,,
,7,BGO016,Zigon,ဇီးကုန်း,ဇကန,zakana,0,,"('7',N'BGO016',N'Zigon',N'ဇီးကုန်း',N'ဇကန',N'zakana',0),",,,
,7,BGO017,Paungde,ပေါင်းတည်,ပတတ,patata,0,,"('7',N'BGO017',N'Paungde',N'ပေါင်းတည်',N'ပတတ',N'patata',0),",,,
,7,BGO018,Thegon,သဲကုန်း,သကန,thakana,0,,"('7',N'BGO018',N'Thegon',N'သဲကုန်း',N'သကန',N'thakana',0),",,,
,7,BGO019,Pyay,ပြည်,ပမန,pamana,0,,"('7',N'BGO019',N'Pyay',N'ပြည်',N'ပမန',N'pamana',0),",,,
,7,BGO020,Paukkaung,ပေါက်ခေါင်း,ပခတ,pakhata,0,,"('7',N'BGO020',N'Paukkaung',N'ပေါက်ခေါင်း',N'ပခတ',N'pakhata',0),",,,
,7,BGO021,Padaung,ပန်းတောင်း,ပတန,patana,0,,"('7',N'BGO021',N'Padaung',N'ပန်းတောင်း',N'ပတန',N'patana',0),",,,
,7,BGO022,Shwedaung,ရွှေတောင်,ရတန,ratana,0,,"('7',N'BGO022',N'Shwedaung',N'ရွှေတောင်',N'ရတန',N'ratana',0),",,,
,7,BGO023,Thayawady,သာယာဝတီ,သဝတ,thawata,0,,"('7',N'BGO023',N'Thayawady',N'သာယာဝတီ',N'သဝတ',N'thawata',0),",,,
,7,BGO024,Kway,ကြို့ပင်ကောက်,ကပက,kapaka,0,,"('7',N'BGO024',N'Kway',N'ကြို့ပင်ကောက်',N'ကပက',N'kapaka',0),",,,
,7,BGO025,Monyo,မိုးညို,မညန,manyana,0,,"('7',N'BGO025',N'Monyo',N'မိုးညို',N'မညန',N'manyana',0),",,,
,7,BGO026,Minhla,မင်းလှ,မလန,malana,0,,"('7',N'BGO026',N'Minhla',N'မင်းလှ',N'မလန',N'malana',0),",,,
,7,BGO027,Letpadan,လက်ပံတန်း,လပတ,lapata,0,,"('7',N'BGO027',N'Letpadan',N'လက်ပံတန်း',N'လပတ',N'lapata',0),",,,
,7,BGO028,Okpho,အုတ်ဖို,အဖန,aphana,0,,"('7',N'BGO028',N'Okpho',N'အုတ်ဖို',N'အဖန',N'aphana',0),",,,
