NrcTownShipId,StateCode,TownShipCode,TownShipName_ENG,TownShipName_MM,TownShipShortName_MM,TownShipShortName_ENG,DelFlag,,(',"',N'","',","),"
,8,MAG001,Magway,မကွေး,မကန,makana,0,,"('8',N'MAG001',N'Magway',N'မကွေး',N'မကန',N'makana',0),",,,
,8,MAG002,Taungdwingyi,တောင်တွင်းကြီး,တတက,tataka,0,,"('8',N'MAG002',N'Taungdwingyi',N'တောင်တွင်းကြီး',N'တတက',N'tataka',0),",,,
,8,MAG003,Natmauk,နတ်မောက်,နမန,namana,0,,"('8',N'MAG003',N'Natmauk',N'နတ်မောက်',N'နမန',N'namana',0),",,,
,8,MAG004,Myothit,မြို့သစ်,မသန,mathana,0,,"('8',N'MAG004',N'Myothit',N'မြို့သစ်',N'မသန',N'mathana',0),",,,
,8,MAG005,Chauk,ချောက်,ခမန,khamana,0,,"('8',N'MAG005',N'Chauk',N'ချောက်',N'ခမန',N'khamana',0),",,,
,8,MAG006,Yenangyaung,ရေနံချောင်း,ရနခ,ranakha,0,,"('8',N'MAG006',N'Yenangyaung',N'ရေနံချောင်း',N'ရနခ',N'ranakha',0),",,,
,8,MAG007,Gangaw,ဂန့်ဂေါ,ဂဂန,gagana,0,,"('8',N'MAG007',N'Gangaw',N'ဂန့်ဂေါ',N'ဂဂန',N'gagana',0),",,,
,8,MAG008,Saw,ဆော,ဆမန,hsamana,0,,"('8',N'MAG008',N'Saw',N'ဆော',N'ဆမန',N'hsamana',0),",,,
,8,MAG009,Kyaukhtu,ကျောက်ထု,ကထန,kahtana,0,,"('8',N'MAG009',N'Kyaukhtu',N'ကျောက်ထု',N'ကထန',N'kahtana',0),",,,
,8,MAG010,Htilin,ထီးလင်း,ထလန,htalana,0,,"('8',N'MAG010',N'Htilin',N'ထီးလင်း',N'ထလန',N'htalana',0),",,,
,8,MAG011,Pakokku,ပခုက္ကူ,ပခက,pakhaka,0,,"('8',N'MAG011',N'Pakokku',N'ပခုက္ကူ',N'ပခက',N'pakhaka',0),",,,
,8,MAG012,Seikphyu,ဆိပ်ဖြူ,ဆဖန,hsaphana,0,,"('8',N'MAG012',N'Seikphyu',N'ဆိပ်ဖြူ',N'ဆဖန',N'hsaphana',0),",,,
,8,MAG013,Pauk,ပေါက်,ပမန,pamana,0,,"('8',N'MAG013',N'Pauk',N'ပေါက်',N'ပမန',N'pamana',0),",,,
,8,MAG014,Myaing,မြိုင်,မမန,mamana,0,,"('8',N'MAG014',N'Myaing',N'မြိုင်',N'မမန',N'mamana',0),",,,
,8,MAG015,Yesagyo,ရေစကြို,ရစက,rasaka,0,,"('8',N'MAG015',N'Yesagyo',N'ရေစကြို',N'ရစက',N'rasaka',0),",,,
,8,MAG016,Minbu,မင်းဘူး,မဘန,mabana,0,,"('8',N'MAG016',N'Minbu',N'မင်းဘူး',N'မဘန',N'mabana',0),",,,
,8,MAG017,Ngape,ငဖဲ,ငဖန,ngaphana,0,,"('8',N'MAG017',N'Ngape',N'ငဖဲ',N'ငဖန',N'ngaphana',0),",,,
,8,MAG018,Salin,စလင်း,စလန,salana,0,,"('8',N'MAG018',N'Salin',N'စလင်း',N'စလန',N'salana',0),",,,
,8,MAG019,Sidoktaya,စေတုတ္တရာ,စတရ,satara,0,,"('8',N'MAG019',N'Sidoktaya',N'စေတုတ္တရာ',N'စတရ',N'satara',0),",,,
,8,MAG020,Pwintbyu,ပွင့်ဖြူ,ပဖန,paphana,0,,"('8',N'MAG020',N'Pwintbyu',N'ပွင့်ဖြူ',N'ပဖန',N'paphana',0),",,,
,8,MAG021,Thayet,သရက်,သရန,tharana,0,,"('8',N'MAG021',N'Thayet',N'သရက်',N'သရန',N'tharana',0),",,,
,8,MAG022,Kamma,ကံမ,ကမန,kamana,0,,"('8',N'MAG022',N'Kamma',N'ကံမ',N'ကမန',N'kamana',0),",,,
,8,MAG023,Mindon,မင်းတုန်း,မတန,matana,0,,"('8',N'MAG023',N'Mindon',N'မင်းတုန်း',N'မတန',N'matana',0),",,,
,8,MAG024,Minhla,မင်းလှ,မလန,malana,0,,"('8',N'MAG024',N'Minhla',N'မင်းလှ',N'မလန',N'malana',0),",,,
,8,MAG025,Aunglan,အောင်လံ,အလန,alana,0,,"('8',N'MAG025',N'Aunglan',N'အောင်လံ',N'အလန',N'alana',0),",,,
,8,MAG026,Aunglan,အောင်လံ,မထန,mahtana,0,,"('8',N'MAG026',N'Aunglan',N'အောင်လံ',N'မထန',N'mahtana',0),",,,
,8,MAG027,Sinbaungwe,ဆင်ပေါင်ဝဲ,ဆပဝ,hsapawa,0,,"('8',N'MAG027',N'Sinbaungwe',N'ဆင်ပေါင်ဝဲ',N'ဆပဝ',N'hsapawa',0),",,,
