Name,Name MM,Short Name MM,Short Name
Myitkyina,မြစ်ကြီးနား,မကန,makana
Hsinbo,ဆင်ဘို,ဆဘတ,hsabata
Waimaw,ဝိုင်းမော်,ဝမန,wamana
Sadung,ဆဒုံး,ဆဒန,hsadana
Chipwi,ချီဖွေ,ကပတ,kapata
Hsawlaw,ဆော့လော်,အဂယ,agaya
Chiphwe,ချီဖွေ,ခဖန,khaphana
Panwa,ပန်ဝါ,ပဝန,pawana
Sumprabum,ဆွမ်ပရာဘွမ်,ဆလန,hsalana
Tanai,တနိုင်း,တနန,tanana
Shingbwiyang,ရှင်ဗွေယန်,ရဗယ,rabaya
Putao,ပူတာအို,ပတအ,pataa
Khaunglanhpu,ခေါင်လန်ဖူး,ခဘဒ,khabada
Machanbaw,မချမ်းဘော,ဆပဘ,hsapaba
Nawngmun,နောင်မွန်း,နမန,namana
Pannandin,ပန်နန်းဒင်,ပနဒ,panada
Myohla,မြို့လှ,မခဘ,makhaba
Bhamo,ဗန်းမော်,ဗမန,bamana
Mansi,မန်စီ,မစန,masana
Momauk,မိုးမောက်,မမန,mamana
Lweje,လွယ်ဂျယ်,လဂန,lagana
Dotphoneyan,ဒေါ့ဖုန်းယန်,ဒဖယ,daphaya
Shwegu,ရွှေကူ,ရကန,rakana
Mogaung,မိုးကောင်း,မလန,malana
Mohnyin,မိုးညှင်း,မညန,manyana
Hopin,ဟိုပင်,ဟပန,hapana
Hpakant,ဖားကန့်,ကမန,kamana
Kamaing,ကာမိုင်း,ကမတ,kamata
Moekaung,မိုးကောင်း,မကတ,makata
