Name,Name MM,Short Name MM,Short Name
Sittwe,စစ်တွေ,စတန,satana
Pauktaw,ပေါက်တော,ပတန,patana
Ponnagyun,ပုဏ္ဏားကျွန်း,ပဏတ,panata
Rathedaung,ရသေ့တောင်,ရသတ,rathata
Kyaukphyu,ကျောက်ဖြူ,ကဖန,kaphana
Ramree,ရမ်းဗြဲ,ရဗန,rabana
Taungup,တောင်ကုတ်,တကန,takana
Ma-ei,မအီ,မအတ,maata
Manaung,မာန်အောင်,မအန,maana
Maungdaw,မောင်တော,မတန,matana
Taungpyoletwe,တောင်ပြိုလက်ဝဲ,တပဝ,tapawa
Buthidaung,ဘူးသီးတောင်,ဘသတ,bathata
Mrauk-U,မြောက်ဦး,မဥန,mauna
Kyauktaw,ကျောက်တော်,ကတန,katana
Minbya,မင်းပြား,မပန,mapana
Myebon,မြေပုံ,မပတ,mapata
Thandwe,သံတွဲ,သတန,thatana
Gwa,ဂွ,ဂမန,gamana
Kyeintali,ကျိန္တလီ,ကတလ,katala
Ann,အမ်း,အမန,amana
