Name,Name MM,Short Name MM,Short Name
Kyauktada,ကျောက်တံတား,ကတတ,katata
Dagon,ဒဂုံ,ဒဂန,dagana
Pabedan,ပန်းဘဲတန်း,ပဘတ,pabata
Latha,လသာ,လသန,lathana
Lanmadaw,လမ်းမတော်,လမတ,lamata
Kamayut,ကမာရွတ်,ကမရ,kamara
Bahan,ဗဟန်း,ဗဟန,bahana
Taikkyi,တိုက်ကြီး,တကန,takana
Twantay,တွံတေး,တတန,tatana
Kawhmu,ကော့မှူး,ကမန,kamana
Kunchangone,ကွမ်းခြံကုန်း,ကခက,kakhaka
Seikkyi Kanaungto,ဆိပ်ကြီးခနောင်တို,ဆကခ,hsakakha
Dala,ဒလ,ဒလန,dalana
Dagon Myothit (Seikkan),ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),ဒဂဆ,dagahsa
Dagon Myothit (South),ဒဂုံမြို့သစ် (တောင်ပိုင်း),ဒဂတ,dagata
Dagon Myothit (North),ဒဂုံမြို့သစ် (မြောက်ပိုင်း),ဒဂမ,dagama
Dagon Myothit (East),ဒဂုံမြို့သစ် (အရှေ့ပိုင်း),ဒဂရ,dagara
Botataung,ဗိုလ်တထောင်,ဗတထ,batahta
Seikkan,ဆိပ်ကမ်း,ဆကန,hsakana
Dawbon,ဒေါပုံ,ဒပန,dapana
Pazundaung,ပုဇွန်တောင်,ပဇတ,pazata
Mingala Taungnyunt,မင်္ဂလာတောင်ညွန့်,မဂတ,magata
Thaketa,သာကေတ,သကတ,thakata
Mayangon,မရမ်းကုန်း,မရက,maraka
North Okkalapa,မြောက်ဥက္ကလာပ,ဥကမ,ukama
Hlaing,လှိုင်,လမန,lamana
Mingaladon,မင်္ဂလာဒုံ,မဂဒ,magada
Shwepyitha,ရွှေပြည်သာ,ရပသ,rapatha
Hmawbi,မှော်ဘီ,မဘန,mabana
Htantabin,ထန်းတပင်,ထတပ,htatapa
Hlegu,လှည်းကူး,လကန,lakana
Thingangyun,သင်္ဃန်းကျွန်း,သဃက,thagaka
Tamwe,တာမွေ,တမန,tamana
South Okkalapa,တောင်ဥက္ကလာပ,ဥကတ,ukata
Yankin,ရန်ကင်း,ရကန,rakana
Thanlyin,သန်လျင်,သလန,thalana
Cocokyun,ကိုကိုးကျွန်း,ကကက,kakaka
Kyauktan,ကျောက်တန်း,ကတန,katana
Tantarr,တံတား,တတတ,tatata
Kayan,ခရမ်း,ခရန,kharana
Thongwa,သုံးခွ,သခန,thakhana
Ahlon,အလုံ,အလန,alana
Kyeemyindaing,ကြည့်မြင်တိုင်,ကမတ,kamata
Sanchaung,စမ်းချောင်း,စခန,sakhana
Insein,အင်းစိန်,အစန,asana
Hlaingthaya (West),လှိုင်သာယာ (အနောက်ပိုင်း),လယန,layana
Hlaingthaya (East),လှိုင်သာယာ (အရှေ့ပိုင်း),လယရ,layara
Hlaingthaya,လှိုင်သာယာ,လသယ,lathaya
