Name,Name MM,Short Name MM,Short Name
Kengtung,ကျိုင်းတုံ,ကတန,katana
Mong Khet,မိုင်းခတ်,မခန,makhana
Mong Ping,မိုင်းပျဉ်း,မပတ,mapata
Tongta,တုံတာ,တတန,tatana
Tachileik,တာချီလိတ်,တခလ,takhala
Talay,တာလေ,တလန,talana
Kyaing Lap,ကျိုင်းလပ်,ကလထ,kalahta
Mong Hpyak,မိုင်းဖြတ်,မဖန,maphana
Mong Hsat,မိုင်းဆတ်,မဆန,mahsana
Mongkhoke,မိုင်းခုတ်,မခတ,makhata
Mong Ton,မိုင်းတုံ,မတန,matana
Ponparkyin,ပုံပါကျင်,ပပက,papaka
Mong Hta,မုံးထ,မထန,mahtana
Mong Yawng,မိုင်းယောင်း,မယတ,mayata
Mong Yu,မိုင်းယု,မယထ,mayahta
Mong Yang,မိုင်းယန်း,မယန,mayana
Mong Pawk,မိုင်းပေါက်,မပထ,mapahta
Mong Lar,မိုင်းလား,မလန,malana
