Name,Name MM,Short Name MM,Short Name
Lashio,လားရှိုး,လရန,larana
Kunlong,ကွမ်းလုံ,ကလတ,kalata
Hseni,သိန္နီ,သနန,thanana
Matman,မက်မန်း,ပယန,payana
Pangsang,ပန်ဆန်း,ပဆန,pahsana
Man Kan,မန်ကန်,မကထ,makahta
Namphan,နားဖန်း,နဖန,naphana
Man-Hpai,မန်ဖန်,မဖတ,mahpata
Hopang,ဟိုပန်,ဟပတ,hapata
Nantit,နမ့်တစ်,နတန,natana
Panlong,ပန်လုံ,ပလထ,palahta
Mongmao,မိုင်းမော,မမထ,mamahta
Pangwaing,ပန်ဝိုင်း,ပဝန,pawana
Kyaukme,ကျောက်မဲ,ကမန,kamana
Mongngawt,မိုင်းငေါ့,မငန,mangana
Monglong,မိုင်းလုံ,မလတ,malata
Hsipaw,သီပေါ,သပန,thapana
Nawnghkio,နောင်ချို,နခတ,nakhata
Namtu,နမ္မတူ,နမတ,namata
Kutkai,ကွတ်ခိုင်,ကခန,kakhana
Tamoenye,တာမိုးညဲ,တမည,tamanya
Tangyan,တန့်ယန်း,တယန,tayana
Mongyai,မိုင်းရယ်,မရတ,marata
Muse,မူဆယ်,မဆတ,mahsata
Mongko,မုန်းကိုး,မကတ,makata
Manhero,မန်ဟီးရိုး,မဟရ,mahara
Pansai (Kyukok),ပန်ဆိုင်း(ကြူကုတ်),ပဆတ,pahsata
Namhkam,နမ့်ခမ်း,နခန,nakhana
Momeik,မိုးမိတ်,မမတ,mamata
Mabein,မဘိမ်း,မဘန,mabana
Namsan,နမ့်ဆန်,နဆန,nahsana
Mantong,မန်တုံ,မတတ,matata
Laukkaing,လောက်ကိုင်,လကန,lakana
Chinshwehaw,ချင်းရွှေဟော်,ခရဟ,kharaha
Konkyan,ကုန်းကြမ်း,ကကန,kakana
Mawhtike,မော်ထိုက်,မထတ,mahtata
