Name,Name MM,Short Name MM,Short Name
Taunggyi,တောင်ကြီး,တကန,takana
Kyauktalongyi,ကျောက်တလုံးကြီး,ကတလ,katala
Yatsauk,ရပ်စောက်,ရစန,rasana
Indaw,အင်းတော,အတန,atana
Kalaw,ကလော,ကလန,kalana
Nyaungshwe,ညောင်ရွှေ,ညရန,nyarana
Pekon,ဖယ်ခုံ,ဖခန,phakhana
Namhkam,နမ့်စန်,နစန,nasana
Kholam,ခိုလမ်,ခလန,khalana
Kunhing,ကွန်ဟိန်း,ကဟန,kahana
Kali,ကာလိ,ကလဒ,kalada
Mongnai,မိုင်းနဲ,မနန,manana
Kengtung,ကျိုင်းတောင်,ကတတ,katata
Monghsu,မိုင်းရှူး,မရန,marana
Mongsan,မိုင်းစံ,မစန,masana
Kyethi,ကျေးသီး,ကသန,kathana
Mongnawng,မိုင်းနောက်,မနတ,manata
Linkhay,လင်းခေး,လခတ,lakhata
Homane,ဟိုမိန်း,ဟမန,hamana
Mongpan,မိုင်းပန်,မပန,mapana
Mawkmai,မောက်မယ်,မမန,mamana
Loilen,လွိုင်လင်,လလန,lalana
Panglong,ပင်လုံ,ပလန,palana
Mongkaing,မိုင်းကိုင်,မကန,makana
Lai-Hka,လဲချား,လခန,lakhana
Ywangan,ရွာငံ,ရငန,rangana
Pindaya,ပင်းတယ,ပတယ,pataya
Hopong,ဟိုပုံး,ဟပန,hapana
Hsi Hseng,ဆီဆိုင်,ဆဆန,hsahsana
Pinlaung,ပင်လောင်း,ပလန,palana
Nawn-tara,နောင်တရား,နတရ,natara
