Name,Name MM,Short Name MM,Short Name
Pathein,ပုသိမ်,ပသန,pathana
Shwethaungyan,ရွှေသောင်ယံ,ရသယ,rathaya
Ngwesaung,ငွေဆောင်,ငဆန,ngahsana
Kangyidaunt,ကန်ကြီးထောင့်,ကကထ,kakahta
Kangyidaunt,ကန်ကြီးထောင့်,ပသရ,pathara
Ngapudaw,ငပုတော,ငပတ,ngapata
Ngayokaung,ငရုတ်ကောင်း,ငရက,ngaraka
Hainggyikyun,ဟိုင်းကြီးကျွန်း,ဟကက,hakaka
Thabaung,သာပေါင်း,သပန,thapana
Kyonpyaw,ကျုံပျော်,ကပန,kapana
Kyaunggon,ကျောင်းကုန်း,ကကန,kakana
Yekyi,ရေကြည်,ရကန,rakana
Ngathaingchaung,ငသိုင်းချောင်း,ငသခ,ngathakha
Pyapon,ဖျာပုံ,ဖပန,phapana
Ahmar,အမာ,အမတ,amata
Kyankin,ကျိုက်လတ်,ကလန,kalana
Dedaye,ဒေးဒရဲ,ဒဒရ,dadara
Bogale,ဘိုကလေး,ဘကလ,bakala
Ma-ubin,မအူပင်,မအပ,maapa
Nyaungdon,ညောင်တုန်း,ညတန,nyatana
Danuphyu,ဓနုဖြူ,ဓနဖ,danapha
Pantanaw,ပန်းတနော်,ပတန,patana
Myaungmya,မြောင်းမြ,မမန,mamana
Wakema,ဝါးခယ်မ,ဝခမ,wakhama
Einme,အိမ်မဲ,အမန,amana
Myanaung,မြန်အောင်,မအန,maana
Kyangin,ကြံခင်း,ကခန,kakhana
Ingapu,အင်္ဂပူ,အဂပ,agapa
Labutta,လပွတ္တာ,လပတ,lapata
Pyinsalu,ပြင်စလူ,ပစလ,pasala
Mawlamyinegyun,မော်လမြိုင်ကျွန်း,မမက,mamaka
Hinthada,ဟင်္သာတ,ဟသတ,hathata
Zalun,ဇလွန်,ဇလန,zalana
Lemyethna,လေးမျက်နှာ,လမန,lamana
