Name,Name MM,Short Name MM,Short Name
Hpa-an,ဘားအံ,ဘအန,baana
Hlaingbwe,လှိုင်းဘွဲ,လဘန,labana
Paingkyon,ပိုင်ကျုံ,ပကန,pakana
Shan Ywathit,ရှမ်းရွာသစ်,ရရသ,raratha
Kawkareik,ကော့ကရိတ်,ကကရ,kakara
Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,ကဆက,kahsaka
Payathonzu,ဘုရားသုံးဆူ,ဘသဆ,bathahsa
Kyondoe,ကျိုက်ဒုံ,ကဒန,kadana
Hpapun,ဖာပွန်,ဖပန,phapana
Kamamaung,ကမမောင်း,ကမမ,kamama
Myawaddy,မြဝတီ,မဝတ,mawata
Sugali,စုကလိ,စကလ,sakala
Wawlaymyaing,ဝေါလေမြိုင်,ဝလမ,walama
Leiktho,လိပ်သို,လသန,lathana
Bawgali,ဘောဂလိ,ဘဂလ,bagala
Thandaunggyi,သံတောင်ကြီး,သတန,thatana
Thandaunggyi,သံတောင်ကြီး,သတက,thataka
