Name,Name MM,Short Name MM,Short Name
Monywa,မုံရွာ,မရန,marana
Chaung-U,ချောင်းဦး,ခဥတ,khauta
Budalin,ဘုတလင်,ဘတလ,batala
Ayadaw,အရာတော်,အရတ,arata
Kale,ကလေး,ကလထ,kalahta
Kalewa,ကလေးဝ,ကလဝ,kalawa
Mingin,မင်းကင်း,မကန,makana
Katha,ကသာ,ကသန,kathana
Htigyaing,ထီးချိုင့်,ထခန,htakhana
Banmauk,ဗန်းမောက်,ဗမန,bamana
Indaw,အင်းတော်,အတန,atana
Kawlin,ကောလင်း,ကလတ,kalata
Wuntho,ဝန်းသို,ဝသန,wathana
Pinlebu,ပင်လည်ဘူး,ပလဘ,palaba
Kanbalu,ကန့်ဘလူ,ကဘလ,kabala
Kyunhla,ကျွန်းလှ,ကလန,kalana
Hkamti,ခန္တီး,ခတန,khatana
Tamu,တမူး,တမန,tamana
Myothit,မြို့သစ်,မသန,mathana
Khampat,ခါမ်းပါတ်,ခပန,khapana
Sagaing,စစ်ကိုင်း,စကန,sakana
Myinmu,မြင်းမူ,မမတ,mamata
Myaung,မြောင်,မမန,mamana
Myauk,မော်လိုက်,မလန,malana
Paungbyin,ဖောင်းပြင်,ဖပန,phapana
Yinmabin,ယင်းမာပင်,ယမပ,yamapa
Kani,ကနီ,ကနန,kanana
Salingyi,ဆားလင်းကြီး,ဆလက,hsalaka
Pale,ပုလဲ,ပလန,palana
Ye-U,ရေဦး,ရဥန,rauna
Debayin,ဒီပဲယင်း,ဒပယ,dapaya
Taze,တန့်ဆည်,တဆန,tahsana
Shwebo,ရွှေဘို,ရဘန,rabana
Kyaukmyaung,ကျောက်မြောင်း,ကမန,kamana
Khin-U,ခင်ဦး,ခဥန,khauna
Wetlet,ဝက်လက်,ဝလန,walana
Homalin,ဟုမ္မလင်း,ဟမလ,hamala
Phaungpyin,မို၀ိုင်းလွတ်,မပလ,mapala
Leshi,လေရှီး,လရန,larana
Somra,ဆွမ္မရာ,ဆမရ,hsamara
Lahe,လဟယ်,လဟန,lahana
Htanparkway,ထန်ပါခွေ,ထပခ,htapakha
Nanyun,နန်းယွန်း,နယန,nayana
Pansaung,ပန်ဆောင်,ပဆန,pahsana
Donhee,ဒုံဟီး,ဒဟန,dahana
Ngazun,ငါန်းဇွန်,ငဇန,ngazana
