Name,Name MM,Short Name MM,Short Name
Dawei,ထားဝယ်,ထဝန,htawana
Myitta,မေတ္တာ,မတန,matana
Yebyu,ရေဖြူ,ရဖန,raphana
Kaleinaung,ကလိန်အောင်,ကလအ,kalaa
Launglon,လောင်းလုံ,လလန,lalana
Thayetchaung,သရက်ချောင်း,သရခ,tharakha
Kawthaung,ကော့သောင်း,ကသန,kathana
Khamaukgyi,ခမောက်ကြီး,ခမက,khamaka
Bokpyin,ဘုတ်ပြင်း,ဘပန,bapana
Pyigyimandaing,ပြည်ကြီးမဏ္ဍိုင်,ပကမ,pakama
Karathuri,ကရသူရိ,ကရရ,karara
Myeik,မြိတ်,မအရ,maara
Myeik,မြိတ်,မမန,mamana
Kyunsu,ကျွန်းစု,မအန,maana
Kyunsu,ကျွန်းစု,ကစန,kasana
Tanintharyi,တနင်္သာရီ,တသရ,tathara
Palaw,ပုလော,ပလန,palana
Palauk,ပလောက်,ပလတ,palata
