Name,Name MM,Short Name MM,Short Name
Bago,ပဲခူး,ပခန,pakhana
Kawa,ကဝ,ကဝန,kawana
Waw,ဝေါ,ဝမန,wamana
Thanatpin,သနပ်ပင်,သနပ,thanapa
Nyaunglebin,ညောင်လေးပင်,ညလပ,nyalapa
Kyaukkyi,ကျောက်ကြီး,ကကန,kakana
Kyauktaga,ကျောက်တံခါး,ကတခ,katakha
Daik-U,ဒိုက်ဦး,ဒဥန,dauna
Shwegyin,ရွှေကျင်,ရကန,rakana
Taungoo,တောင်ငူ,တငန,tangana
Htantabin,ထန်းတပင်,ထတပ,htatapa
Phyu,ဖြူး,ဖမန,phamana
Yedashe,ရေတာရှည်,ရတရ,ratara
Oktwin,အုတ်တွင်း,အတန,atana
Nattalin,နတ်တလင်း,နတလ,natala
Zigon,ဇီးကုန်း,ဇကန,zakana
Paungde,ပေါင်းတည်,ပတတ,patata
Thegon,သဲကုန်း,သကန,thakana
Pyay,ပြည်,ပမန,pamana
Paukkaung,ပေါက်ခေါင်း,ပခတ,pakhata
Padaung,ပန်းတောင်း,ပတန,patana
Shwedaung,ရွှေတောင်,ရတန,ratana
Thayawady,သာယာဝတီ,သဝတ,thawata
Kway,ကြို့ပင်ကောက်,ကပက,kapaka
Monyo,မိုးညို,မညန,manyana
Minhla,မင်းလှ,မလန,malana
Letpadan,လက်ပံတန်း,လပတ,lapata
Okpho,အုတ်ဖို,အဖန,aphana
