Name,Name MM,Short Name MM,Short Name
Magway,မကွေး,မကန,makana
Taungdwingyi,တောင်တွင်းကြီး,တတက,tataka
Natmauk,နတ်မောက်,နမန,namana
Myothit,မြို့သစ်,မသန,mathana
Chauk,ချောက်,ခမန,khamana
Yenangyaung,ရေနံချောင်း,ရနခ,ranakha
Gangaw,ဂန့်ဂေါ,ဂဂန,gagana
Saw,ဆော,ဆမန,hsamana
Kyaukhtu,ကျောက်ထု,ကထန,kahtana
Htilin,ထီးလင်း,ထလန,htalana
Pakokku,ပခုက္ကူ,ပခက,pakhaka
Seikphyu,ဆိပ်ဖြူ,ဆဖန,hsaphana
Pauk,ပေါက်,ပမန,pamana
Myaing,မြိုင်,မမန,mamana
Yesagyo,ရေစကြို,ရစက,rasaka
Minbu,မင်းဘူး,မဘန,mabana
Ngape,ငဖဲ,ငဖန,ngaphana
Salin,စလင်း,စလန,salana
Sidoktaya,စေတုတ္တရာ,စတရ,satara
Pwintbyu,ပွင့်ဖြူ,ပဖန,paphana
Thayet,သရက်,သရန,tharana
Kamma,ကံမ,ကမန,kamana
Mindon,မင်းတုန်း,မတန,matana
Minhla,မင်းလှ,မလန,malana
Aunglan,အောင်လံ,အလန,alana
Aunglan,အောင်လံ,မထန,mahtana
Sinbaungwe,ဆင်ပေါင်ဝဲ,ဆပဝ,hsapawa
