Name,Name MM,Short Name MM,Short Name
Maha Aungmye,မဟာအောင်မြေ,မရတ,marata
Maha Aungmye,မဟာအောင်မြေ,မဟမ,mahama
Chanmyathazi,ချမ်းမြသာစည်,မနတ,manata
Chanmyathazi,ချမ်းမြသာစည်,ခမစ,khamasa
Chanayethazan,ချမ်းအေးသာစံ,မရမ,marama
Chanayethazan,ချမ်းအေးသာစံ,ခအဇ,khaaza
Pyigyitagon,ပြည်ကြီးတံခွန်,ပတခ,patakha
Kyaukse,ကျောက်ဆည်,ကဆန,kahsana
Sintgaing,စဉ့်ကိုင်,စကတ,sakata
Myittha,မြစ်သား,မသန,mathana
Nyaung-U,ညောင်ဦး (ပုဂံ),ညဥန,nyauna
Ngathayauk,ငါ့သရောက်,ငသရ,ngathara
Kyaukpadaung,ကျောက်ပန်းတောင်း,ကပတ,kapata
Tada-U,တံတားဦး,တတဥ,tatau
Ngazun,ငါန်းဇွန်,ငဇန,ngazana
Pyin Oo Lwin,ပြင်ဦးလွင်,ပဥလ,paula
Pyin Oo Lwin,ပြင်ဦးလွင်,မမန,mamana
Meiktila,မိတ္ထီလာ,မထလ,mahtala
Mahlaing,မလှိုင်,မလန,malana
Wundwin,ဝမ်းတွင်း,ဝတန,watana
Thazi,သာစည်,သစန,thasana
Myingyan,မြင်းခြံ,မခန,makhana
Taungtha,တောင်သာ,တသန,tathana
Natogyi,နွားထိုးကြီး,နထက,nahtaka
Yamethin,ရမည်းသင်း,ရမသ,ramatha
Pyawbwe,ပျော်ဘွယ်,ပဘန,pabana
Tatkon,သပိတ်ကျင်း,သပက,thapaka
Tagaung,တကောင်း,တကတ,takata
Singu,စဉ့်ကူး,စကန,sakana
Mogok,မိုးကုတ်,မကန,makana
Amarapura,အမရပူရ,အမရ,amara
Aungmyethazan,အောင်မြေသာစံ,မနမ,manama
Aungmyethazan,အောင်မြေသာစံ,အမဇ,amaza
Patheingyi,ပုသိမ်ကြီး,ပသက,pathaka
Madaya,မတ္တရာ,မတရ,matara
